Acción,Incidencia,Farola,Sticker,Potencia,Tecnologia,Tipo,LATITUD,LONGITUD,Descripción,Mes,Tiempo (Días),Operario,Estado
Correctivo,1654819,1637505,039917,100,LED,AVE,2.973596064,-75.28956602,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Febrero,5,ESIP,FINALIZADA
Correctivo,1655436,1637573,035947,27.8,LED,ACT,2.970849058,-75.28710696,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad55 ,FINALIZADA
Correctivo,1654146,1637573,035947,27.8,LED,AVE,2.970849058,-75.28710696,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,1,ESIP,FINALIZADA
Correctivo,1649268,1638079,028775,74.1,LED,ACT,2.94734345,-75.30653232,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1647255,1638079,028775,74.1,LED,AVE,2.94734345,-75.30653232,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,2,ESIP,FINALIZADA
Correctivo,1650693,1638132,006862,27.8,LED,ACT,2.945376104,-75.28841697,"Se ha actuado sobre: Acometida, Otros: 20MTRS3*14/C.E",Febrero,0,cuad54 ,FINALIZADA
Correctivo,1649209,1638132,006862,27.8,LED,AVE,2.945376104,-75.28841697,Registro de incidencia tipo: ApagadaPQR-INTERNA,Febrero,2,DRODRIGUEZ,FINALIZADA
Correctivo,1658090,1638316,027136,60.2,LED,ACT,2.93921293,-75.29649656,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1654726,1638316,027136,60.2,LED,AVE,2.93921293,-75.29649656,"Registro de incidencia tipo: IntermitentePQR-INTERNA
",Febrero,6,DRODRIGUEZ,FINALIZADA
Correctivo,1654740,1638324,027164,60.2,LED,ACT,2.93992232,-75.29680702,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1654718,1638324,027164,60.2,LED,AVE,2.93992232,-75.29680702,"Registro de incidencia tipo: IntermitentePQR-INTERNA
",Febrero,0,DRODRIGUEZ,FINALIZADA
Correctivo,1654739,1638325,026062,60.2,LED,ACT,2.93992232,-75.29680702,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1654719,1638325,026062,60.2,LED,AVE,2.93992232,-75.29680702,"Registro de incidencia tipo: IntermitentePQR-INTERNA
",Febrero,0,DRODRIGUEZ,FINALIZADA
Correctivo,1648516,1638639,053116,37,LED,ACT,2.939873053,-75.25220496,"Se ha actuado sobre: Fotocelda, Otros: 1F.C.E",Febrero,0,cuad55 ,FINALIZADA
Correctivo,1648466,1638639,053116,37,LED,AVE,2.939873053,-75.25220496,Registro de incidencia tipo: ApagadaPQR-INTERNA,Febrero,0,COORDMTTO,FINALIZADA
Correctivo,1655087,1638909,063466,74.1,LED,ACT,2.990080734,-75.27024871,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad56 ,FINALIZADA
Correctivo,1654096,1638909,063466,74.1,LED,AVE,2.990080734,-75.27024871,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,1,ESIP,FINALIZADA
Correctivo,1655088,1638923,063460,74.1,LED,ACT,2.989852502,-75.27039499,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad56 ,FINALIZADA
